,,update_count,driving_time,routes,avg_delay
637,93,3,2.7,"['14R', '14R', '14R']",0.0
93,114,3,4.5,"['14R', '14R', '14R']",0.0
114,647,3,2.2666666666666666,"['14R', '14R', '14R']",0.07962962962962966
647,653,3,2.7333333333333334,"['14R', '14R', '14R']",0.3943396226415094
653,709,3,2.2666666666666666,"['14R', '14R', '14R']",1.111320754716981
709,496,3,2.7333333333333334,"['14R', '14R', '14R']",1.2716981132075473
496,649,3,2.6666666666666665,"['14R', '14R', '14R']",1.5134615384615382
649,642,3,2.45,"['14R', '14R', '14R']",1.2038461538461538
645,374,5,4.0,"['14R', '14R', '14R', '58', '58']",0.55
374,645,5,3.75,"['14R', '14R', '58', '58', '58']",0.3071428571428572
642,649,2,1.7166666666666666,"['14R', '14R']",
649,496,2,2.283333333333333,"['14R', '14R']",
496,709,2,2.7,"['14R', '14R']",
709,653,2,2.3,"['14R', '14R']",7.327272727272727
653,647,2,2.8333333333333335,"['14R', '14R']",
647,114,2,2.1666666666666665,"['14R', '14R']",
114,93,2,4.0,"['14R', '14R']",
93,637,2,3.1166666666666667,"['14R', '14R']",
637,32,2,2.8833333333333333,"['14R', '14R']",
32,634,2,5.0,"['14R', '14R']",
641,174,6,2.5933333333333333,"['14R', '14R', '714', '714', '714', '714']",
136,700,6,0.8566666666666669,"['15', '15', '15', '23', '23', '44']",0.0
700,699,7,1.2777777777777781,"['15', '15', '15', '23', '23', '54', '54']",1.153333333333333
699,546,5,0.32916666666666666,"['15', '15', '15', '23', '23']",0.8764705882352941
546,545,3,0.43333333333333335,"['15', '15', '15']",12.112499999999999
545,576,8,0.6142857142857143,"['15', '15', '15', '15', '15', '54', '54', '54']",1.65625
576,550,8,0.773809523809524,"['15', '15', '15', '15', '15', '54', '54', '54']",1.6375
550,394,8,1.0095238095238097,"['15', '15', '15', '15', '15', '19', '19', '19']",4.984
394,398,7,0.8944444444444445,"['15', '15', '15', '15', '15', '19', '19']",1.5695652173913044
398,576,8,0.7476190476190477,"['15', '15', '15', '15', '15', '54', '54', '54']",1.0875000000000001
576,545,8,0.811904761904762,"['15', '15', '15', '15', '15', '54', '54', '54']",1.0812499999999998
545,531,3,0.6,"['15', '15', '15']",11.123076923076923
531,534,7,0.6555555555555556,"['15', '15', '15', '44', '44', '44', '44']",1.1935483870967742
534,532,3,1.7333333333333334,"['15', '15', '15']",10.934615384615386
532,533,6,0.6933333333333332,"['15', '15', '15', '54', '54', '54']",0.4187499999999999
533,130,3,1.6833333333333333,"['15', '15', '15']",10.9
130,824,5,2.479166666666667,"['15', '15', '15', 'T', 'TBUS']",
824,70,3,4.2,"['15', '15', '15']",9.675
70,133,3,3.4166666666666665,"['15', '15', '15']",10.064285714285715
133,138,3,8.783333333333333,"['15', '15', '15']",10.282142857142857
138,628,3,2.8,"['15', '15', '15']",11.089655172413794
628,165,6,2.936666666666667,"['15', '15', '5', '5', '5R', '5R']",0.0
165,133,2,6.016666666666667,"['15', '15']",14.266666666666667
133,70,2,2.5,"['15', '15']",15.727586206896552
70,824,2,3.6166666666666667,"['15', '15']",15.0
824,130,9,2.3541666666666665,"['15', '15', 'T', 'T', 'T', 'TBUS', 'TBUS', 'TBUS', 'TBUS']",
130,533,2,1.3666666666666667,"['15', '15']",15.393103448275863
533,532,5,0.7708333333333335,"['15', '15', '54', '54', '54']",2.025
532,534,5,0.6875000000000001,"['15', '15', '54', '54', '54']",1.7812500000000002
534,531,6,0.7933333333333333,"['15', '15', '44', '54', '54', '54']",1.6500000000000001
531,545,5,0.36666666666666664,"['15', '15', '54', '54', '54']",1.6624999999999999
545,546,5,0.4125,"['15', '15', '54', '54', '54']",1.0875
546,699,4,0.5833333333333334,"['15', '15', '23', '23']",0.8611111111111112
699,574,4,0.8222222222222223,"['15', '15', '23', '23']",0.75
574,136,2,1.4833333333333334,"['15', '15']",15.848148148148148
587,119,2,1.2666666666666666,"['18', '18']",0.1875
119,116,2,0.8333333333333334,"['18', '18']",0.7
116,230,7,0.7250000000000001,"['18', '18', '31', '31', '38', '38', '38']",0.0
230,231,4,0.8055555555555556,"['18', '18', '31', '31']",
231,232,4,0.9888888888888889,"['18', '18', '31', '31']",
232,233,4,0.9944444444444445,"['18', '18', '31', '31']",
233,145,4,0.7555555555555555,"['18', '18', '31', '31']",
145,284,4,0.6611111111111112,"['18', '18', '31', '31']",
284,585,4,0.47222222222222227,"['18', '18', '31', '31']",
585,460,7,0.672222222222222,"['18', '18', '5', '5', '5R', '5R', '5R']",1.991891891891892
460,507,2,1.2333333333333334,"['18', '18']",0.0
507,599,2,1.15,"['18', '18']",0.0
599,597,2,0.8,"['18', '18']",0.04999999999999999
597,146,2,0.48333333333333334,"['18', '18']",0.15000000000000002
146,147,2,0.6333333333333333,"['18', '18']",0.1625
147,148,2,0.6333333333333333,"['18', '18']",0.1625
148,149,2,0.65,"['18', '18']",0.15
149,150,2,0.65,"['18', '18']",0.11250000000000002
150,151,2,0.7166666666666667,"['18', '18']",0.05000000000000002
151,694,2,0.5666666666666667,"['18', '18']",0.05
694,153,2,0.65,"['18', '18']",0.0
153,154,2,0.65,"['18', '18']",0.0
154,155,2,0.6333333333333333,"['18', '18']",0.0
155,156,2,0.65,"['18', '18']",0.0
156,157,2,0.65,"['18', '18']",0.0
157,158,6,0.5400000000000001,"['18', '18', 'LOWL', 'LOWL', 'LOWL', 'LOWL']",
158,159,10,0.5833333333333334,"['18', '18', 'LBUS', 'LBUS', 'LBUS', 'LBUS', 'LOWL', 'LOWL', 'LOWL', 'LOWL']",
159,160,10,0.9018518518518519,"['18', '18', 'LBUS', 'LBUS', 'LBUS', 'LBUS', 'LOWL', 'LOWL', 'LOWL', 'LOWL']",
160,790,4,0.838888888888889,"['18', '18', '23', '23']",0.0
790,583,2,1.6666666666666667,"['18', '18']",0.0
583,584,2,1.65,"['18', '18']",0.0
584,582,5,0.9583333333333333,"['18', '18', '29', '58', '58']",0.0
582,280,7,1.3555555555555556,"['18', '18', '29', '57', '57', '58', '58']",0.0
280,53,5,0.775,"['18', '18', '29', '58', '58']",0.0
53,280,6,0.7466666666666666,"['18', '18', '18', '58', '58', '58']",1.821875
280,582,13,1.2152777777777781,"['18', '18', '18', '29', '29', '29', '29', '57', '57', '57', '58', '58', '58']",1.709375
582,584,10,1.0333333333333332,"['18', '18', '18', '29', '29', '29', '29', '58', '58', '58']",1.7125
584,583,3,1.7166666666666668,"['18', '18', '18']",1.4052631578947368
583,784,3,1.85,"['18', '18', '18']",1.763157894736842
784,790,3,0.5833333333333334,"['18', '18', '18']",1.7789473684210528
790,160,6,0.9033333333333335,"['18', '18', '18', '23', '23', '23']",0.0
160,159,4,0.6555555555555556,"['18', '18', '18', 'LBUS']",1.1363636363636365
159,158,4,0.6666666666666667,"['18', '18', '18', 'LBUS']",0.4840909090909091
158,813,4,0.6666666666666667,"['18', '18', '18', 'LBUS']",0.22954545454545452
813,156,3,0.65,"['18', '18', '18']",2.4210526315789473
156,155,3,0.6416666666666666,"['18', '18', '18']",2.473684210526316
155,154,6,0.6633333333333334,"['18', '18', '18', '48', '48', '48']",3.6409090909090907
154,153,3,0.6416666666666666,"['18', '18', '18']",2.6631578947368424
153,152,3,0.65,"['18', '18', '18']",2.7210526315789476
152,151,3,0.625,"['18', '18', '18']",2.8105263157894735
151,150,3,0.6666666666666666,"['18', '18', '18']",2.8473684210526318
150,149,3,0.6416666666666666,"['18', '18', '18']",2.889473684210526
149,148,3,0.65,"['18', '18', '18']",2.942105263157895
148,147,3,0.5166666666666667,"['18', '18', '18']",3.1315789473684212
147,597,3,0.5166666666666667,"['18', '18', '18']",3.3368421052631576
597,599,3,0.6,"['18', '18', '18']",3.345
599,507,3,1.1833333333333333,"['18', '18', '18']",3.17
507,585,3,1.35,"['18', '18', '18']",0.0
585,284,6,0.7233333333333334,"['18', '18', '18', '31', '31', '31']",0.7842105263157895
284,233,6,0.6433333333333333,"['18', '18', '18', '31', '31', '31']",0.6789473684210526
233,232,6,0.99,"['18', '18', '18', '31', '31', '31']",0.5157894736842106
232,231,6,0.9966666666666667,"['18', '18', '18', '31', '31', '31']",0.5
231,230,6,0.99,"['18', '18', '18', '31', '31', '31']",0.5631578947368421
230,116,9,0.6166666666666666,"['18', '18', '18', '31', '31', '31', '38', '38', '38']",0.0
116,118,6,1.0366666666666668,"['18', '18', '18', '38', '38', '38']",0.0
119,587,4,1.3666666666666667,"['18', '18', '18', '18']",0.3875
242,715,3,1.0666666666666667,"['19', '19', '19']",1.8159999999999998
715,716,3,1.1666666666666667,"['19', '19', '19']",1.632
716,718,3,1.725,"['19', '19', '19']",1.016
718,714,9,1.1125,"['19', '19', '19', '49', '49', '90', '90', '90', '90']",0.4836065573770491
714,555,5,1.4625,"['19', '19', '19', '27', '27']",7.652
555,345,3,0.8,"['19', '19', '19']",1.652
345,717,3,2.3833333333333333,"['19', '19', '19']",1.364
717,488,3,2.075,"['19', '19', '19']",1.4080000000000001
488,405,3,1.6666666666666665,"['19', '19', '19']",1.508
405,402,6,1.3333333333333335,"['19', '19', '19', '31', '31', '31']",1.2
402,542,3,1.5,"['19', '19', '19']",1.7961538461538462
542,193,5,0.8791666666666667,"['19', '19', '19', '27', '27']",6.929166666666667
193,641,5,1.1916666666666669,"['19', '19', '19', '27', '27']",7.304166666666666
641,192,5,0.7375,"['19', '19', '19', '27', '27']",7.166666666666667
