,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,geometry,routes
343,01114,,AURORA RD & MELBURY AV,,41.385658,-81.443788,,,0,,0,POINT (-81.443788 41.385658),
344,01115,,SOM CENTER RD & STATION ST,,41.386364,-81.437814,,,0,,0,POINT (-81.437814 41.386364),
345,01120,,W 210TH ST & WESTGATE 2ND DR,,41.460787,-81.852669,,,0,,0,POINT (-81.852669 41.460787),
346,01125,,BROADVIEW RD & PEARL RD,,41.44129,-81.704326,,,0,,0,POINT (-81.704326 41.44129),
347,01130,,SCRANTON RD & METROHEALTH DR,,41.463071,-81.698817,,,0,,0,POINT (-81.698817 41.463071),
348,01135,,3407 SCRANTON RD,,41.46163,-81.699064,,,0,,0,POINT (-81.699064 41.46163),
349,01142,,3426 W 98TH ST,,41.460414,-81.751124,,,0,,0,POINT (-81.751124 41.460414),
350,01143,,3427 E 116TH ST,,41.465543,-81.602834,,,0,,0,POINT (-81.602834 41.465543),
351,01144,,3428 E 116TH ST,,41.465581,-81.602936,,,0,,0,POINT (-81.602936 41.465581),
352,01149,,E 93RD ST & HEATH AV,,41.465467,-81.621532,,,0,,0,POINT (-81.621532 41.465467),
353,01153,,3474 MONTICELLO BLVD,,41.528474,-81.555436,,,0,,0,POINT (-81.555436 41.528474),"('51',)"
354,01156,,5 SEVERANCE CIRCLE (SEVERANCE MEDICAL BLDG),,41.516032,-81.548751,,,0,,0,POINT (-81.548751 41.516032),
355,01167,,3540 RIDGE RD,,41.460718,-81.738545,,,0,,0,POINT (-81.738545 41.460718),
356,01172,,3570 RIDGE RD,,41.459025,-81.738269,,,0,,0,POINT (-81.738269 41.459025),
357,01173,,3570 WARRENSVILLE CTR RD,,41.462808,-81.536252,,,0,,0,POINT (-81.536252 41.462808),
358,01193,,370 S GREEN RD,,41.542256,-81.531332,,,0,,0,POINT (-81.531332 41.542256),
359,01194,,MARTIN LUTHER KING DR & FARRINGDON AV,,41.457582,-81.602644,,,0,,0,POINT (-81.602644 41.457582),
360,01199,,3720 E 93RD ST,,41.457827,-81.621482,,,0,,0,POINT (-81.621482 41.457827),
361,01205,,MAYFIELD RD & MAPLE RD,,41.520587,-81.54455,,,0,,0,POINT (-81.54455 41.520587),
362,01208,,3520 W 210TH ST,,41.458496,-81.852822,,,0,,0,POINT (-81.852822 41.458496),
363,01209,,3580 W 210TH ST,,41.458085,-81.852771,,,0,,0,POINT (-81.852771 41.458085),
364,01218,,W 210TH ST & RESERVE CT,,41.456329,-81.852857,,,0,,0,POINT (-81.852857 41.456329),
365,01219,,W 210TH ST & RESERVE CT,,41.45565,-81.852869,,,0,,0,POINT (-81.852869 41.45565),
366,01224,,ROCKY RIVER DR & FERNSHAW AV,,41.448942,-81.817198,,,0,,0,POINT (-81.817198 41.448942),
